migpuma_name,net migration,median_real_wage,n_out,n_in,top_place_population,proportion_in_named_place
Northwest Wisconsin,673,25360.254901960783,2648,3321,178774,1
Pickens & Oconee Counties,663,25233.499999999993,2888,3551,193497,1
Baltimore County,660,37149.56000000002,11766,12426,805029,1
Southwest Nebraska,659,23621.767441860466,2199,2858,NA,NA
"Central Sands--Wood, Portage, Juneau & Adams Counties",655,24162.741935483868,2797,3452,NA,NA
St. Joseph County,654,20065.89830508475,4434,5088,266931,1
"Riley, Geary & Pottawatomie Counties",649,27007.6779661017,3007,3656,127081,1
Central Shenandoah Planning District Commission,646,28964.275862068964,1804,2450,125228,1
Cumberland County,633,32961.11627906974,4040,4673,144169,0.5123731674811195
Walworth County,626,21690.47272727273,1538,2164,NA,NA
Virginia Beach City,626,34140.21052631579,11714,12340,437994,1
"Stephens, Caddo, Comanche",625,26681.000000000004,5941,6566,113117,0.515567243838963
Schuylkill County,624,29067.4375,1979,2603,NA,NA
Coastal Bend COG,621,32609.28571428571,2418,3039,127206,1
"Lauderdale, Colbert, Franklin & Marion",617,19673.766666666645,5510,6127,186695,0.6052780884760655
Northwest Georgia Regional Commission,612,30989.857142857112,2945,3557,333144,1
Sutter & Yuba Counties,611,31084.545454545463,4075,4686,166892,1
Pitt County,606,19330.6,4185,4791,168148,1
Santa Rosa County,604,40741.36111111112,3072,3676,151372,1
"Mower, Steele, Freeborn & Dodge Counties",603,29149.076923076933,1917,2520,127081,1
Tooele & Box Elder Counties,601,38463.02325581395,1921,2522,216386,1
St. Johns County,601,30914,4437,5038,163641,0.6189075010495342
Camden County,592,23964.921875,6952,7544,513657,1
Bergen County,579,31087.08910891089,7370,7949,905116,1
Grant & Kittitas Counties,577,37627.65178571428,2591,3168,NA,NA
Yavapai County,571,24058.999999999993,4047,4618,211033,1
Jefferson County,570,35624.95555555557,4313,4883,218733,1
South Central Planning & Development Commission 3,569,31613.850000000002,2079,2648,111860,1
East Montana,564,22937.249999999993,5620,6184,141259,0.577198731673831
Alexandria City,561,38360.867469879515,2612,3173,139966,1
Faulkner & Lonoke Counties,560,25557.797752809,3712,4272,181593,1
Union County,559,21891.03999999996,7145,7704,536499,1
Lexington,555,27193.103448275862,5551,6106,162725,0.5764952208200775
Allen County,555,24732.975000000017,7903,8458,355329,1
Coordinating & Development Corporation 3,552,30315.950000000004,2735,3287,158186,1
South Central North Dakota,546,58346.56989247312,2157,2703,119563,1
Gaston County,543,27770.24999999998,3995,4538,206086,1
Sevier & Jefferson Counties,542,18528.854166666682,2910,3452,141296,1
Harnett County,541,28243.363636363636,2400,2941,NA,NA
Central Texas COG,539,20003.421052631576,3670,4209,176700,1
Crater Planning District Commission,531,28656.358974358973,3724,4255,173463,1
Clark County,530,30469.153846153815,10435,10965,425363,1
"Johnson, Lafayette, Ray, Clinton & Caldwell Counties",529,24672.714285714275,2593,3122,139637,1
Richmond City,529,24296.989795918365,5544,6073,204214,1
"Berkeley, Jefferson, Mineral, Hampshire & Morgan Counties",528,35382.535211267605,2860,3388,909536,1
St. Clair County,527,26774.829787234034,3731,4258,163040,1
"Phelps, Crawford, Dent, Gasconade & Maries Counties",526,32080.44999999998,1718,2244,NA,NA
"Taney, Barry, Stone & McDonald Counties",526,19527.791208791212,3052,3578,142557,1
Jefferson & Lewis Counties,525,23274.705882352937,3459,3984,143316,1
"Garland, Hot Spring, Clark & Montgomery Counties",521,17673.08597285068,3538,4059,161429,1
Outer Green Bay City,512,32023.738461538473,5746,6258,143053,0.5768103319664364
Montgomery City & Pike Road Town,510,21944.84971098266,9206,9716,196534,0.5247399448918127
Yuma County,501,24235.89999999999,5026,5527,195751,1
Northeast Georgia Regional Commission,501,29939.111111111113,880,1381,111987,1
Sedgwick,500,25384.507692307696,12717,13217,476046,0.7948287693532956
Madison County,491,33035.42105263158,4807,5298,269282,1
Fresno County,489,22526.63157894736,20927,21416,930450,1
Marion County,485,24958.689655172413,6871,7356,315335,1
Central Region,483,33492.931818181816,3230,3713,169120,1
Lane County,480,27423.12499999999,7858,8338,351715,1
Capital Region Planning Commission 5,480,25842.962962962967,1632,2112,107215,1
River Valley Regional Commission,479,21721.102040816328,7003,7482,201152,1
Bluegrass Area Development District,477,28175.316582914573,2205,2682,116976,1
Washington County,477,27229.47058823529,3275,3752,138115,1
Concho Valley COG,475,28101.134453781513,2246,2721,110224,1
Barren River Area Development District,474,24945.781512605045,2575,3049,113792,1
Limestone & Madison,471,22746.00000000001,10801,11272,171821,0.33650012142291996
"Pulaski, Camden, Miller & Morgan Counties",471,22101.969696969696,2542,3013,NA,NA
Escambia County,471,22886.92727272728,5723,6194,297619,1
Alamance County,468,23318.499999999993,3347,3815,151131,1
Lancaster County,466,27277.714285714283,6041,6507,285407,1
North Delta Region,465,39175.6992481203,3140,3605,161252,1
Whatcom County,463,32038.00000000001,3778,4241,201140,1
Sebastian & Crawford Counties,461,17934.492307692308,4434,4895,187692,1
Anoka County,460,35818.43037974683,6356,6816,330844,1
"St. Francois, Washington, Perry & Ste. Genevieve Counties",458,35621.12903225806,2229,2687,NA,NA
Kanawha & Clay Counties,454,17855.66666666665,3791,4245,202449,1
Clackamas County,453,34071.2,7136,7589,375992,1
Capital Region Planning Commission 7,453,27674.062992125986,3078,3531,168265,1
Ingham County,453,23204.1935483871,5883,6336,280895,1
"Garfield, Kay & Noble Counties--Enid City",452,39144.92307692306,3284,3736,NA,NA
Capital Area COG,449,40004.49438202249,2769,3218,157107,1
Winston-Salem City,448,22453.615384615383,7380,7828,224408,0.6399406849744774
Henrico County,448,27567.728395061727,6228,6676,306935,1
"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",447,23933.000000000004,2784,3231,NA,NA
Panhandle Regional Planning Commission,445,30852.15909090909,3861,4306,186129,1
"Franklin, Vance & Warren",444,20203.909090909092,3093,3537,120854,1
Regional Planning Commission 4,438,22820.597560975602,9691,10129,136959,0.27866023996370226
"Haywood, Madison, Swain, Graham & Jackson",435,18818.77272727266,3007,3442,108552,1
Permian Basin Regional Planning Commission,435,45978.56060606061,3884,4319,136872,1
Seminole County,435,26223.291666666646,6960,7395,422718,1
Kisatchie Delta Regional Planning & Development District 2,432,25296.901408450707,3028,3460,183947,1
Berks County,429,28641.375,7014,7443,411442,1
Greenville County,427,26305,9848,10275,365635,0.7061835360648329
Sheboygan County,426,30601.083333333332,1920,2346,115507,1
Onondaga County,425,25187.142857141862,7787,8212,431813,0.7893454369968486
Miami County,425,25995.19999999999,2873,3298,102506,1
Sampson & Duplin Counties,421,18743.31343283582,2114,2535,NA,NA
"Morgan, Putnam & Brown Counties",420,29219.08641975308,2486,2906,122099,1
Licking County,418,23922.411764705877,3316,3734,166492,1
Northeast South Dakota,417,24547.44827586208,2493,2910,NA,NA
Kankakee County,417,41387.61538461538,1736,2153,113449,1
Anne Arundel County,415,44285.4328358209,8494,8909,537656,1
King County,413,35601.67999999999,39865,40278,1322743,0.6849158239046338
Tippecanoe County,412,32498.307692307688,3740,4152,172780,1
West Central Minnesota,410,30858.547169811318,1800,2210,NA,NA
Ocean County,410,30775.999999999996,6944,7354,576567,1
Southern Georgia Regional Commission,407,20949.59999999998,2031,2438,336778,1
"Campbell, Claiborne, Scott, Morgan & Hancock Counties",407,18930.629629629628,1233,1640,123963,1
Sauk & Columbia Counties,407,26440.88888888889,2197,2604,118809,1
George Washington Regional Commission,404,39734.87804878049,3056,3460,153247,1
"Blue Earth, Nicollet & Waseca Counties",403,27571.62068965518,1755,2158,115876,1
Collin County,401,39296.04651162789,13249,13650,782341,1
"Hoke, Richmond & Scotland Counties",400,15715.315789473681,2333,2733,129748,1
Permian Basin Regional Planning Commission,399,36859.3125,3819,4218,137130,1
Alamo Area COG,399,41152.857142857145,1681,2080,108472,1
Eaton & Clinton Counties,398,29681.86956521739,2969,3367,183141,1
LaPorte County,397,15803.63694267516,2084,2481,111467,1
Deep East Texas COG (West) & Walker County,397,28893,2444,2841,NA,NA
West South Dakota,392,27695.698113207553,4569,4961,173042,1
Macomb County,391,31403.988095238095,16173,16564,840978,1
Kane County,389,29118.25,8068,8457,515269,1
Boone County,388,22579.956521739125,2703,3091,162642,1
Sussex County,386,27861.5,2526,2912,197145,1
Washington County,385,22474.827586206862,4414,4799,203065,1
Linn & Benton Counties,384,30176.384615384613,3563,3947,404502,1
"Cumberland, White, Fentress & Van Buren Counties",382,21640.878048780487,1644,2026,NA,NA
Santa Barbara County,380,31240,6777,7157,423895,1
Southeast Nebraska,379,26117.50000000004,2443,2822,138733,1
"Cabell, Wayne & Mason Counties",379,19992.661417322837,2320,2699,166124,1
St. Lucie County,378,21030,5641,6019,277789,1
Polk County,377,25926.52941176473,11877,12254,602095,1
Greene County,376,24634.545454545463,9614,9990,236645,0.6086579663475635
Lee County,374,22568.12068965517,2239,2613,140247,1
Union,373,31115.325581395333,3688,4061,116845,0.5119391868208903
Pottawatomie,372,26358.999999999985,3790,4162,127255,0.5473333333333333
Shawnee,369,27371.707317073175,4206,4575,120448,0.5359723754939304
Sonoma County,368,32293.212765957447,8062,8430,483878,1
Knox County,366,27374.2,9451,9817,248067,0.4711946115973742
"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties",365,22275.14285714285,1434,1799,NA,NA
Brazos Valley COG,365,28904.538461538454,1866,2231,149353,1
Muskegon County,364,30629.329268292735,3878,4242,172188,1
Arlington County,362,53895.22651933702,1951,2313,207627,1
Central Texas COG,362,26563.85714285714,10649,11011,310235,1
Atlanta Regional Commission,358,27181.515789473684,14807,15165,805321,1
La Crosse County,357,33224.71782178218,2157,2514,114638,1
Kenosha County,357,25827.381818181813,3206,3563,166426,1
Douglas County,354,20817.076923076922,2078,2432,NA,NA
Northeast Georgia Regional Commission,353,16805.18390804597,2133,2486,116714,1
Loudoun County,351,44841.863636363705,2852,3203,312311,1
Tazewell County,345,25283.949152542373,2544,2889,135394,1
Lake County,341,32603.512195122014,3794,4135,208587,0.6449216213709303
"Colusa, Glenn, Tehama & Trinity Counties",341,17942.72727272727,2263,2604,NA,NA
New London County,338,29763.33009708738,5338,5676,274055,1
Hawaii County,337,22487.901098901097,2018,2355,NA,NA
Atlantic County,336,20687.731958762906,6580,6916,263754,0.5496317783418148
Richland County,336,23935.882352941186,2783,3119,124475,1
York County,332,33290.78481012658,7522,7854,434972,1
Northwest Georgia Regional Commission,330,34407.90540540539,3050,3380,100157,1
Lake & Mendocino Counties,328,14091.014084507042,2967,3295,NA,NA
Williamson County,326,33459.71875000001,2277,2603,183182,1
Northeast Georgia Regional Commission,326,40558.47999999999,1561,1887,115536,1
Kennebec County,325,16372.647058823522,2147,2472,NA,NA
Mahoning County,323,20629.98113207548,8428,8751,197201,0.4390684315406281
Jackson County,321,21057.599999999995,4701,5022,203206,1
Bluegrass Area Development District (Southeast),317,21472.37209302326,2232,2549,NA,NA
Wayne County,317,19492.041237113404,3050,3367,122623,1
Hamilton County,316,38450.769230769234,4790,5106,223021,0.6733542868702239
Clark County,314,23935.059999999998,1538,1852,110232,1
"Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties",313,25311.6923076923,2250,2563,NA,NA
Warren County,311,30218.199999999983,1502,1813,108692,1
Jefferson County,308,23246.222222222223,5219,5527,252273,1
Chautauqua County,307,16050.696969696975,2202,2509,NA,NA
Butler County,307,27907.079999999998,7053,7360,368130,1
Central Shenandoah Planning District Commission,307,22690.8,2492,2799,161553,1
Porter County,306,34746.40909090908,2952,3258,164343,1
Northampton,302,24407.999999999956,11997,12299,171161,0.2402323711088436
Canadian County,300,46467.53535353536,2719,3019,115541,1
Craven County,300,34644.80722891566,2410,2710,103505,1
Rockland County,298,27750.600000000002,2847,3145,311687,1
North Central Oregon--The Dalles City,296,21391.5,1692,1988,NA,NA
"Mifflin, Union, Snyder & Juniata Counties",296,27235.572916666668,2110,2406,NA,NA
Coastal Regional Commission,295,20086.075471698092,4273,4568,144472,1
Atlanta Regional Commission,292,27532.142857142866,3310,3602,214346,1
Caldwell & Alexander Counties,291,26893.735849056604,1960,2251,120227,1
Will County,285,35921.83333333334,8298,8583,677560,1
West Montana,283,22594.24999999999,4522,4805,193893,1
Hernando County,279,30232.337349397592,2990,3269,172778,1
"Sumter, Clarendon, Williamsburg & Lee Counties",277,22125.105263157897,3424,3701,196070,1
Calhoun & Barry Counties,277,24537.727272727272,4311,4588,390638,1
Dutchess County,275,33310.76470588235,4214,4489,297488,1
Far Southeast New Mexico,274,25689.54954954955,1796,2070,NA,NA
Heart of Texas COG,274,34415.142857142855,2922,3196,162102,1
St. Charles County,272,35354.03921568627,6142,6414,360485,1
Central Savannah River Area Regional Commission,272,32532.1489361702,1560,1832,124053,1
"Lancaster, Chesterfield & Marlboro Counties",269,22047.710843373494,1603,1872,152319,1
"Greene, Carter, Unicoi & Johnson Counties",264,27153.090909090934,2267,2531,162812,1
Kootenai County,263,32270.02631578946,5458,5721,133649,0.5353733621218009
Capital Region Planning Commission 6,263,32611.599999999984,1950,2213,139229,1
Chesapeake City,263,32880,4317,4580,222209,1
Rock Island County,261,18754.245614035088,3262,3523,147546,1
Catawba County,259,21823.67213114754,3550,3809,154358,1
Lakota Region,258,28992.92,1432,1690,NA,NA
"Wicomico, Worcester & Somerset Counties",257,19649.4,3449,3706,176657,1
"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties",256,29627.3,2898,3154,163789,1
Northwest Georgia Regional Commission,255,28276.482758620725,2221,2476,142324,1
Delaware County,254,21672.069767441862,2204,2458,117671,1
Bluegrass Area Development District,254,28352.986301369885,2941,3195,128752,1
Rockingham & Stokes Counties,253,22500.320000000014,2045,2298,282088,1
Buncombe County,250,23487.2,3196,3446,238318,1
Franklin County,249,30506.213483146068,1928,2177,101492,1
"Crittenden, Mississippi & Craighead",248,21350.27777777778,7031,7279,214190,0.5429720870925301
Douglas County,248,26781.563218390806,13268,13516,517110,1
Parker County,244,35043.31578947368,1931,2175,116927,1
DeKalb County,243,23045.500000000007,2458,2701,105160,1
Twin Falls & Cassia Counties--Twin Falls City,241,27690.52631578947,2095,2336,NA,NA
Northern Kentucky Area Development District,240,31695.72413793104,3544,3784,159720,1
"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties",238,25099.818181818195,2217,2455,NA,NA
Orange & Hardin Counties,237,37812.29702970297,2901,3138,136472,1
Madison County,236,16819.702702702707,3314,3550,131636,1
Lebanon County,236,31820.51612903226,2600,2836,133568,1
Chester County,236,32983,4544,4780,498886,1
East Central Wisconsin,235,33728.242424242424,2471,2706,NA,NA
Laramie & Albany Counties,231,29870.130434782608,3375,3606,128037,1
"Robertson, Dickson, Cheatham & Hickman Counties",231,21938.16,3086,3317,179744,1
Fort Bend County,231,40548.92105263159,7854,8085,585375,1
Richland County,230,24445.263157894737,9604,9834,202939,0.4181446927051997
Dauphin County,230,28684.420000000002,5742,5972,268100,1
Coastal Regional Commission,229,24623.42105263152,3869,4098,216300,1
Saratoga County,229,37141.01960784314,3329,3558,219607,1
Northern Kentucky Area Development District,229,30670.000000000004,2812,3041,160116,1
Capital Region Planning Commission 3,227,25568.6551724138,7674,7901,180733,0.4105972451615395
East Central North Dakota--Jamestown City,224,41075.249999999985,1569,1793,NA,NA
"Coastal Maine Region--Hancock, Knox, Waldo & Lincoln Counties",220,25059.333333333332,2247,2467,NA,NA
Beaufort & Jasper Counties,220,26970.147368421043,3851,4071,187010,1
Shelby County,218,30604.71111111111,2608,2826,195085,1
Tuscaloosa & Northport,217,21379.89285714286,3229,3446,110629,0.5159886568222312
St. Louis,215,23618.739130434853,5759,5974,131501,0.37064251730591447
Houston-Galveston Area Council,213,29887.999999999996,9104,9317,455746,1
Clermont County,213,30618.705882352962,3499,3712,128369,0.5299926922616418
Leon County,213,19781.88888888889,6095,6308,275487,1
Northern Shenandoah Valley Regional Commission,210,26790.68085106383,1961,2171,103610,1
"Klamath, Malheur, Lake & Harney Counties",209,19341.000000000004,2134,2343,NA,NA
Warren County,209,49379.7777777777,2663,2872,212693,1
KIPDA Area Development District,208,25558.429906542067,17288,17496,741096,1
Alamo Area COG,203,33683.07692307693,2040,2243,128619,1
Virginia's Region 2000,203,19726.608108108103,2182,2385,130410,1
Northeast Oklahoma,199,27191.39130434788,8130,8329,166839,0.3866847448199138
Cambria County,199,23945.697674418603,1559,1758,143679,1
Three Rivers Regional Commission,199,21291.764705882353,2488,2687,110527,1
"Dubuque, Buchanan, Jackson & Delaware Counties",197,32143.073170731703,2741,2938,152223,1
"Pickaway, Union & Madison Counties",195,31550.999999999993,2217,2412,151433,1
