type,year,term,estimate,std.error
Low skill,2016,(Intercept),21.703463219748123,10.700994326384563
Low skill,2016,log(nominal_wage_everyone),-1.919357794193659,0.9461637750931005
High skill,2016,(Intercept),-31.415753703351562,9.130881403814081
High skill,2016,log(nominal_wage_everyone),2.7782695840049394,0.8073370525633197
Low skill,1940,(Intercept),-128.71513005422185,24.367534336928735
Low skill,1940,log(incShared),13.130497728691518,2.4916431305394506
High skill,1940,(Intercept),-58.74732292300151,23.244666068266753
High skill,1940,log(incShared),6.109472844739908,2.352369199535935
