MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,mean_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Houma-Thibodaux, LA",0.0026852020866758256,559,26380,1584,64376.60656861195,53971.57142857163,54395.943275871155,45896.57142857149,4185,3626,208178
"La Crosse-Onalaska, WI-MN",0.002670856245090338,357,29100,618,60534.23428434715,50690,48262.62258508284,39185.0625,2514,2157,133665
"Auburn-Opelika, AL",0.0026667237088850385,374,12220,612,52336.49089620585,45824.19047619052,41265.350032708244,34152.47826086957,2613,2239,140247
"Boise City, ID",0.0026647809381391296,1643,14260,3339,54678.49582096176,46836.25688073345,42501.42142245797,34944.27586206894,15647,14004,616561
"Birmingham-Hoover, AL",0.0026612366328707935,3002,13820,6768,55117.21746396889,45621,44084.9355951806,35559.00000000004,21760,18758,1128047
"Reno, NV",0.0026162565200732457,1113,39900,3164,58868.88398685587,48501.85185185181,44680.48064482855,34828,12610,11497,425417
"Port St. Lucie, FL",0.002614906143968385,1109,38940,2309,54192.823013503425,43000,40151.267744452736,30628.51612903282,9062,7953,424107
"Goldsboro, NC",0.002585159390978854,317,24140,798,47700.335630498535,36818.00000000057,37660.00835777126,27139.315068493157,3367,3050,122623
"Yuma, AZ",0.00255937389847306,501,49740,1347,49839.97289394138,40552,38524.76695360757,30736.000000000004,5527,5026,195751
"Fayetteville-Springdale-Rogers, AR-MO",0.002538838179290334,1176,22220,2677,58838.96277670799,47594,48091.55179273358,37450.60273972607,9702,8526,463204
"Austin-Round Rock, TX",0.0025287116563702267,4340,12420,10944,63237.54774612463,50700,48397.23022253756,37045.28571428562,42925,38585,1716289
"Des Moines-West Des Moines, IA",0.002520921365159673,1436,19780,3501,64057.04820692519,55529.06250000005,51207.03595264378,43036.5,15782,14346,569633
"Cape Coral-Fort Myers, FL",0.0024840243457011995,1537,15980,4440,54035.541265622756,43699.703703703104,40922.28727912656,32050.644736841976,12884,11347,618754
"Pensacola-Ferry Pass-Brent, FL",0.00239425734591562,1075,37860,2963,52220.44586470825,42859.91803278689,40271.400220011776,31818.307692307742,9870,8795,448991
"Columbia, MO",0.0023856076536196064,388,17860,657,56067.06822763219,45621,44128.27027446116,35609.82758620687,3091,2703,162642
"Las Vegas-Henderson-Paradise, NV",0.002345653008375575,4577,29820,15511,58510.41914650534,48578.85714286026,44176.88673939939,34874.20930232573,73992,69415,1951269
"Bellingham, WA",0.002301879288058069,463,13380,1183,64920.31698206294,54755.50847457626,49797.148782464676,40191.60377358491,4241,3778,201140
"Ocala, FL",0.0022758966247909736,754,36100,1744,47187.93563405971,36853.753846153995,36583.838485168475,27113.687500000102,6061,5307,331298
"Muncie, IN",0.002158560732890857,254,34620,830,51103.74625,41819.17647058824,41870.15425,33994.29870129873,2458,2204,117671
