state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,median_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Missouri,"Cole, Callaway, Moniteau & Osage Counties",0.0030949586407332886,443,500,594,59158.41666666671,143136,143136,1,1273,1716,63,0.002207690587972278
North Carolina,New Hanover County,0.003092469018112488,811,4690,1205,59232.77777777767,262250,156722,0.5976053384175405,3986,4797,207,0.0025395614871306007
Wyoming,"Sweetwater, Fremont, Uinta, Sublette & Hot Springs Counties",0.0030613238013501676,346,500,419,71874,113023,113023,1,888,1234,60,0.0028843686683241465
Louisiana,Coordinating & Development Corporation 3,0.003058005536599498,475,200,466,64114.545454545485,155330,155330,1,1453,1928,79,0.0022339535183158437
Delaware,Sussex County,0.0030388020145762865,610,300,737,70744.9180327869,200737,200737,1,1077,1687,102,0.0030388020145762865
North Carolina,Henderson & Transylvania Counties,0.003018167043937547,416,2500,458,46485.60000000004,137832,137832,1,986,1402,70,0.00290933890533403
California,Napa County,0.003014909964165214,403,5500,817,82449.59999999999,133669,133669,1,1361,1764,106,0.0029101736378666708
Ohio,"Pickaway, Union & Madison Counties",0.0030118269301403072,451,4200,515,88311.24242424242,149743,149743,1,774,1225,57,0.0027113120479755315
Texas,Galveston County,0.0030108799263714953,916,4700,1243,86792.00000000015,304230,304230,1,3409,4325,195,0.0025178319034940668
Ohio,Warren County,0.0029963618903396183,649,5300,948,98589.22222222232,216596,216596,1,2529,3178,107,0.0015743596372970877
Rhode Island,Southeast Rhode Island,0.0029656485365169177,391,300,951,78201.33333333331,131843,131843,1,2567,2958,154,0.0016383122350067884
Virginia,Fairfax County,0.0029618783418175515,3281,59300,11977,107953,1107743,1107743,1,28693,31974,1637,5.678212365142456e-4
Colorado,Denver City,0.002952561257958711,9794,190,22064,75699.66666666462,3317120,668421,0.20150642726220336,69276,79070,3622,0.002324908354234999
Louisiana,Regional Planning Commission 1,0.0029286871065506525,689,2200,951,78181.63157894736,235259,125584,0.5338116713919553,1984,2673,102,0.0028224212463710207
Texas,Austin City,0.002900388391753229,3120,5300,8528,67957.5526315796,1075718,838109,0.7791159021230472,33566,36686,1726,0.0016054393437685342
Georgia,Georgia Mountains Regional Commission,0.0028858024691358025,561,3300,1873,100901.99999999975,194400,194400,1,1983,2544,166,0.0017746913580246914
Kansas,Northwest Kansas,0.0028762560424572506,310,100,574,48532.49999999989,107779,107779,1,901,1211,60,0.002755638853580011
