state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,median_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Florida,St. Lucie County,0.0013166859321294333,344,11100,456,48965.14285714295,261262,261262,1,1636,1980,76,0.0012056862459906147
Louisiana,Acadiana Regional Development District 2,0.0013141854211877815,152,1100,190,70660.26666666668,115661,115661,1,320,472,17,0.0013141854211877815
Idaho,Ada County,0.0013081611878041513,843,490,2066,63698.70192307692,644416,315097,0.4889652026020459,7681,8524,313,9.528006753401529e-4
Pennsylvania,Northampton,0.0013080749285638692,927,2890,2311,76261.99999999997,708675,167969,0.23701837936995096,5082,6009,235,0.0010202137792358979
Washington,Whatcom County,0.0013052001390869647,259,10100,759,60358.372093023274,198437,198437,1,2272,2531,117,8.415769236583904e-4
Florida,Lake,0.0013003540692766151,516,6900,798,59629.91780821919,396815,156692,0.39487418570366545,2587,3103,105,0.0011037889192696848
North Carolina,Wayne County,0.0012924651847540465,151,4000,307,55418.73529411765,116831,116831,1,718,869,40,1.540686975203499e-4
Florida,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties",0.0012842107778136163,215,2300,338,56786.38461538462,167418,167418,1,253,468,31,0.0012842107778136163
North Carolina,Alamance County,0.0012825740933187755,195,1600,631,66660.47368421059,152038,152038,1,1283,1478,76,0.0011312961233375866
Wisconsin,Washington & Ozaukee Counties,0.0012800029467693738,278,20000,752,86164.27142857142,217187,217187,1,2676,2954,74,0.0010451822622901002
California,Shasta County,0.0012743723716069836,210,8900,577,55757.60975609756,164787,164787,1,1064,1274,72,0.0011408666945814901
Texas,South Texas Development Council,0.0012697379130717891,117,6400,120,59695.59090909092,92145,92145,1,91,208,9,0.0012263280698898474
Texas,Concho Valley COG,0.0012692250261311035,136,2900,326,59372.571428571435,107152,107152,1,1557,1693,66,-9.33253695684635e-5
South Carolina,"Lancaster, Chesterfield & Marlboro Counties",0.0012690268279131026,185,700,351,65762.0714285715,145781,145781,1,657,842,26,0.0012347288055370726
North Carolina,Cabarrus County,0.0012689208833989011,309,3290,931,78454.10256410242,243514,139077,0.57112527411155,2016,2325,104,0.001199109702111583
Virginia,George Washington Regional Commission,0.001260820155029994,223,51120,880,82626.95,176869,176869,1,1323,1546,85,9.724711509648384e-4
Idaho,Bonneville County,0.0012568795109596084,132,1200,427,68140.10526315791,105022,105022,1,834,966,42,6.760488278646379e-4
New York,Orange County,0.0012567097310472112,446,2900,1450,87412.6399999946,354895,354895,1,1917,2363,118,9.298524915820172e-4
South Carolina,Lexington,0.0012538745775178186,358,606,1573,65242.937499999905,285515,165386,0.5792550303836926,2678,3036,167,9.421571546153442e-4
Louisiana,Imperial Calcasieu Regional Planning & Development District 2,0.0012525513319261029,359,890,771,75221.5555555554,286615,146608,0.5115154475515936,1600,1959,90,5.512621460844687e-4
California,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",0.0012524530529540341,157,1500,400,49224.000000000015,125354,125354,1,788,945,57,0.0012524530529540341
Texas,Kaufman County,0.0012492499581943913,127,1400,360,82889.32727272727,101661,101661,1,595,722,40,0.001062354295157435
New York,Albany County,0.0012348083786096406,355,2000,1733,72827.14285714264,287494,287494,1,4872,5227,232,4.8696668452211175e-5
Louisiana,Capital Region Planning Commission 6,0.0012312327536882664,170,1700,268,69592.65116279069,138073,138073,1,829,999,28,0.0010863818414896468
Arkansas,Sebastian & Crawford Counties,0.001221253059917389,225,1400,412,61473,184237,184237,1,861,1086,41,8.08740915234182e-4
Illinois,McLean County,0.0012191386755229384,203,2000,1166,76884,166511,166511,1,3284,3487,156,-6.0056092390292535e-5
Maryland,Charles County,0.0012171585735708474,181,1600,646,97060.17647058824,148707,148707,1,1084,1265,54,9.750717854573087e-4
Nevada,Clark County,0.001206113438003922,2285,400,6666,61826.24324324366,1894515,1650119,0.8709981182519009,21750,24035,1178,8.624898720780781e-4
North Carolina,"Haywood, Madison, Swain, Graham & Jackson",0.0011855191748009154,244,2390,626,49738.72499999999,205817,104679,0.5086023020450205,1367,1611,92,0.0010786281016631279
Missouri,Jackson County,0.0011815187548681514,763,1000,3040,65633.39999999969,645779,645779,1,8440,9203,454,8.996885931564823e-4
North Carolina,Onslow County,0.0011778120262125825,282,4190,566,54109.214285714224,239427,134174,0.5603962794505215,1677,1959,85,6.390256737961884e-4
Iowa,"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties",0.0011730838986517252,152,600,516,63135.93333333325,129573,129573,1,654,806,46,8.412246378489346e-4
Georgia,Heart of Georgia Altamaha Regional Commission,0.0011675499816340452,178,1200,336,71986.40000000002,152456,152456,1,433,611,44,0.0011675499816340452
Georgia,Atlanta Regional Commission,0.0011563434482161625,1790,1090,12427,70750.33628318648,1547983,1547983,1,39774,41564,2092,-3.313989882317829e-4
Washington,Grays Harbor & Mason Counties,0.001151905511300031,142,11300,270,61154.612903225796,123274,123274,1,663,805,35,0.001151905511300031
Virginia,Rappahannock-Rapidan Regional Commission,0.0011479607169044728,191,51087,721,82948.94736842107,166382,166382,1,909,1100,62,0.0010037143440997224
Connecticut,Litchfield County,0.0011297815939289395,205,500,1131,77239.07692307702,181451,181451,1,1471,1676,84,9.148475345961168e-4
Connecticut,Stamford & Greenwich Towns,0.0011164584773654266,998,100,6461,104837.77777777794,893898,178987,0.2002320175232521,14792,15790,775,6.824044801532166e-5
Kentucky,Cumberland Valley Area Development District,0.0011159896058194378,137,900,202,46880.066666666746,122761,122761,1,309,446,21,0.0011159896058194378
New York,Westchester County,0.0011129429942310482,1128,3100,6535,100642.14285714194,1013529,916476,0.9042425031745515,12487,13615,628,5.209520398528311e-4
Maryland,St. Mary's & Calvert Counties,0.001110827175109127,213,1500,781,102176.2830188679,191749,191749,1,1956,2169,86,5.371605588555872e-4
Michigan,Berrien County,0.0011094281462585033,167,2400,642,67393.38983050844,150528,150528,1,1512,1679,92,9.964923469387755e-5
Missouri,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties",0.0011033873993158997,110,2400,183,53750,99693,99693,1,426,536,20,0.0011033873993158997
Georgia,Central Savannah River Area Regional Commission,0.0010901602939395163,135,4100,562,76339.80530973451,123835,123835,1,1393,1528,65,4.279888561392175e-4
Washington,Kitsap County,0.0010861723771774109,268,11800,1172,70131.56250000013,246738,246738,1,3039,3307,176,2.4317292026359943e-5
North Carolina,Winston-Salem City,0.0010802067824412101,378,1800,1967,61501.350000000064,349933,222577,0.6360560450143313,4787,5165,258,7.058494054576162e-4
Alabama,Etowah County,0.001079011118045932,102,900,209,56394.3064516129,94531,94531,1,820,922,31,8.88597391331944e-4
Texas,Alamo Area COG,0.0010749363137047018,146,5700,650,72019.82857142856,135822,135822,1,1116,1262,71,7.288951716216813e-4
Florida,Lee County,0.0010744345303354867,637,7100,2166,57120.03030303004,592870,592870,1,4642,5279,330,8.872096749709043e-4
West Virginia,"Greenbrier, Nicholas, Summers, Monroe & Pocahontas Counties",0.0010729206228636537,113,1100,236,55944.422222222216,105320,105320,1,442,555,26,9.399924041017851e-4
North Dakota,West North Dakota,0.0010683918487117755,217,100,681,76447.73684210524,203109,203109,1,1925,2142,86,8.419124706438415e-4
Florida,Sarasota County,0.0010632484798238507,395,11500,1459,53426.54545454517,371503,371503,1,3554,3949,233,8.37139942342323e-4
Pennsylvania,Lancaster County,0.0010616358722377454,557,3500,1445,72524.10169491525,524662,524662,1,4053,4610,158,9.30122631332172e-4
North Carolina,Iredell,0.001055177534705788,243,1990,943,71589.38571428573,230293,130904,0.5684237037165698,1803,2046,110,2.692222516533286e-4
Virginia,"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",0.0010547606934120889,170,51125,501,69073.22222222206,161174,161174,1,732,902,56,9.058533014009703e-4
West Virginia,Kanawha & Clay Counties,0.0010538823164746604,204,1000,710,66450.12121212113,193570,193570,1,1874,2078,78,9.195639820220075e-4
North Carolina,Gaston County,0.0010501231875277676,208,3000,800,64804.65384615385,198072,198072,1,1518,1726,87,0.0010501231875277676
Connecticut,Tolland County,0.001046461523730054,153,1300,791,91752.27272727247,146207,146207,1,1399,1552,75,5.950467487876777e-4
California,Kern County,0.0010434799509722343,859,2900,1496,76350.49999999997,823207,823207,1,4446,5305,216,8.80701937665739e-4
Wisconsin,Northwest Wisconsin,0.0010419800965085308,187,100,979,57296.40000000018,179466,179466,1,1100,1287,91,9.862592357326736e-4
Louisiana,Acadiana Regional Development District 5,0.0010348709134702671,171,1300,321,73827.2156862745,165238,165238,1,484,655,25,9.440927631658578e-4
Minnesota,Hennepin County,0.0010312985945262105,1213,1400,5531,78911.91111111149,1176187,1176187,1,27926,29139,826,-4.752645625227961e-4
Missouri,St. Louis City,0.0010301976691777736,304,1900,1695,51427.142857142775,295089,295089,1,7348,7652,336,1.2199709240263107e-4
Tennessee,"Cumberland, White, Fentress & Van Buren Counties",0.0010298661174047373,105,800,208,58176.64999999994,101955,101955,1,391,496,25,0.0010298661174047373
New Hampshire,Hillsborough County,0.0010288094736595754,1099,290,5524,80521.66666666593,1068225,236854,0.22172669615483628,12610,13709,576,4.240679632099979e-4
Pennsylvania,Butler County,0.0010181755161283335,188,1600,1053,84561.37614678899,184644,184644,1,1919,2107,97,8.232057364441845e-4
Texas,Tarrant County,0.0010178152961082543,1875,2500,8377,75102.66666666605,1842181,1263364,0.6857979753346712,25087,26962,1209,3.6912768072192687e-4
California,Orange County,9.97972972972973e-4,2954,5900,14852,84327.11999999578,2960000,2960000,1,48116,51070,2155,3.030405405405405e-4
West Virginia,"Jackson, Wetzel, Roane, Braxton, Ritchie, Tyler, Gilmer & Calhoun Counties",9.957224576055924e-4,98,600,227,66285.47169811321,98421,98421,1,265,363,18,9.957224576055924e-4
Louisiana,Kisatchie Delta Regional Planning & Development District 2,9.91269661176864e-4,166,700,640,67042.38709677418,167462,167462,1,1061,1227,104,6.926944620272062e-4
Michigan,St. Clair County,9.859252845595252e-4,156,3100,401,63987.727272727265,158227,158227,1,844,1000,47,9.227249458057096e-4
Florida,Duval County,9.81520795666659e-4,804,3100,3570,63436.259259258884,819137,819137,1,12217,13021,574,2.832249062122697e-4
Oregon,Marion County,9.811081123987935e-4,309,1100,909,59756.57142857141,314950,314950,1,2566,2875,135,9.334815050007938e-4
Texas,Parker County,9.750237226753954e-4,112,2400,497,93589.07692307697,114869,114869,1,710,822,42,7.051510851491699e-4
Texas,Golden Crescent Regional Planning Commission,9.736095638416387e-4,104,5600,305,74760.4761904762,106819,106819,1,971,1075,50,3.6510358644061447e-4
Texas,Houston-Galveston Area Council,9.701519602509701e-4,107,4400,182,80805.75581395348,110292,110292,1,565,672,21,9.701519602509701e-4
Hawaii,Hawaii County,9.687191771170918e-4,165,200,521,55208.53773584905,170328,170328,1,1140,1305,51,4.4619792400544834e-4
Pennsylvania,Montgomery County,9.681099092428229e-4,774,3100,5076,90610.69999999786,799496,799496,1,12168,12942,541,3.164493630987522e-4
Illinois,DeKalb County,9.664686253764141e-4,95,2601,389,63521.454545454544,98296,98296,1,1315,1410,48,5.697078212745178e-4
Texas,San Antonio City,9.659306602737179e-4,1631,5900,6895,65498.142857142775,1688527,1055241,0.6249476614824637,23125,24756,1084,9.238821765953402e-5
Tennessee,Rutherford County,9.659060306289162e-4,269,2400,1168,64192.999999999905,278495,278495,1,3847,4116,155,4.272967198692975e-4
Utah,Southeast Utah & Uintah Basin Region,9.647071534964846e-4,125,13001,381,62109.60000000001,129573,129573,1,747,872,46,8.026363517090752e-4
Oklahoma,Pottawatomie,9.50249551517735e-4,214,1100,600,64023.1,225204,124069,0.5509182785385695,919,1133,57,9.50249551517735e-4
Texas,Concho Valley COG & Permian Basin Regional Planning Commission,9.497964721845319e-4,91,2800,331,61111.07692307688,95810,95810,1,577,668,47,9.497964721845319e-4
Indiana,Johnson County,9.451395844207141e-4,134,2400,452,76223.95121951216,141778,141778,1,1369,1503,45,9.451395844207141e-4
Arizona,Pima County,9.433334304054982e-4,907,200,4074,60889.99999999977,961484,435760,0.45321607015821375,13025,13932,651,2.2985301887498908e-4
Ohio,"Seneca, Crawford & Wyandot Counties",9.395393717782687e-4,111,2300,300,67529,118143,118143,1,309,420,26,5.925023065268361e-4
Texas,East Texas COG,9.35198212364479e-4,113,1700,275,72263.68421052632,120830,120830,1,340,453,23,9.35198212364479e-4
Mississippi,South Region,9.343723234126152e-4,156,1800,495,59119.36231884058,166957,166957,1,1564,1720,66,7.666644704924022e-4
Illinois,Peoria County,9.342208431343109e-4,168,1701,809,72940.24096385542,179829,179829,1,2566,2734,106,9.342208431343109e-4
North Carolina,Burke & McDowell Counties,9.316206251332297e-4,118,2100,318,60761.348837209305,126661,126661,1,576,694,34,7.26348284002179e-4
Washington,Chelan & Douglas Counties,9.232643581884982e-4,97,10300,323,67459.27631578947,105062,105062,1,650,747,42,7.804915192933696e-4
Texas,Houston-Galveston Area Council,9.205259109875668e-4,152,5000,379,79830.8,165123,165123,1,380,532,37,7.146187993192953e-4
Ohio,Hamilton County,9.190764689542881e-4,718,5500,4298,70229.53846153842,781219,461080,0.5902058193669125,12212,12930,599,-4.224167614970962e-5
New Jersey,Union County,9.174205610364728e-4,475,1800,2455,91275.82051282052,517756,517756,1,4601,5076,225,4.538817512496234e-4
Virginia,"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",9.159653448299611e-4,133,51145,667,77150.25000000006,145202,145202,1,1039,1172,69,3.9255657635569756e-4
Georgia,Northeast Georgia Regional Commission,9.143120911116438e-4,103,3900,358,69240.34285714287,112653,112653,1,421,524,27,9.143120911116438e-4
Colorado,Mesa County,9.075708397042124e-4,203,1000,835,53959.47500000003,223674,125384,0.5605658234752363,2548,2751,134,6.303817162477534e-4
California,Solano County,9.072652328606563e-4,370,9500,1503,76432.12500000019,407819,407819,1,4038,4408,217,3.629060931442625e-4
California,Ventura County,8.970253113822969e-4,705,11100,3591,82021.67441860463,785931,785931,1,8002,8707,410,4.237013172912126e-4
Louisiana,North Delta Regional Planning & Development District 1,8.966154477943945e-4,131,400,477,57173.75409836065,146105,146105,1,1290,1421,56,7.597275931692961e-4
Iowa,Southwest Iowa,8.954517807663716e-4,159,2100,651,68945.66666666669,177564,177564,1,1135,1294,60,8.954517807663716e-4
North Carolina,Brunswick County,8.851875604050185e-4,98,4800,410,56224.96969696973,110711,110711,1,726,824,47,6.413093549873093e-4
North Dakota,East Central North Dakota,8.791208791208791e-4,112,200,567,59725.65306122446,127400,127400,1,782,894,54,8.791208791208791e-4
West Virginia,"Cabell, Wayne & Mason Counties",8.754763621382222e-4,136,800,479,61339.66346153838,155344,155344,1,1158,1294,55,8.754763621382222e-4
Maryland,Washington County,8.716216216216216e-4,129,200,484,78100.30769230767,148000,148000,1,887,1016,47,4.1216216216216216e-4
Illinois,Kane County,8.676754893669768e-4,434,3000,1673,89316.18840579706,500187,500187,1,4457,4891,161,5.717861519791597e-4
Kentucky,Lincoln Trail Area Development District,8.619571767469889e-4,226,1290,613,66230.87500000003,262194,262194,1,1726,1952,85,3.3562934315811954e-4
Kansas,Southeast Kansas,8.564835007970054e-4,108,1500,375,53922.205882352944,126097,126097,1,735,843,38,7.851098757305884e-4
Michigan,Northwest Lower Peninsula,8.562171640717579e-4,125,500,637,60707.5,145991,145991,1,1382,1507,69,7.740203163208691e-4
New Jersey,Camden County,8.503631196059637e-4,409,2100,2533,78669.76056338035,480971,480971,1,4633,5042,253,5.592852791540447e-4
Wisconsin,Waukesha County,8.397862924208e-4,326,70100,1730,91854,388194,388194,1,4463,4789,164,6.414318613888932e-4
California,Placer County,8.3361881923033e-4,292,6100,1950,87531.63636363592,350280,350280,1,4624,4916,260,1.8271097407788055e-4
Texas,North Texas Regional Planning Commission,8.330829532107836e-4,122,600,538,65161.03030303048,146444,146444,1,652,774,65,8.330829532107836e-4
Texas,El Paso City,8.318413729430861e-4,637,3300,2221,57916.71153846145,765771,614786,0.802832700637658,6264,6901,289,-2.0110450774448235e-4
California,Santa Cruz County,8.22837625414815e-4,212,8700,1315,71587.63829787256,257645,257645,1,3086,3298,167,6.210095286149547e-4
Massachusetts,Middlesex County,8.225474268474329e-4,3896,390,31324,91526.58064516168,4736505,958702,0.20240704907943727,71902,75798,3588,-1.9529167603538896e-4
New Jersey,Bergen County,8.104816370396769e-4,730,300,5944,92663.51851851828,900699,900699,1,12670,13400,599,-3.386258894480842e-4
Arkansas,"Garland, Hot Spring, Clark & Montgomery Counties",8.092712133378012e-4,128,1600,358,55744.40000000003,158167,158167,1,786,914,38,8.092712133378012e-4
Texas,Permian Basin Regional Planning Commission,8.023842274186154e-4,112,3100,253,65937.22580645162,139584,139584,1,805,917,38,1.8626776707932142e-4
Florida,"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties",7.996288142788039e-4,81,12100,146,56724.666666666664,101297,101297,1,203,284,13,7.996288142788039e-4
Florida,Osceola County,7.980064894489991e-4,212,9700,615,52862.339622641506,265662,265662,1,1959,2171,94,3.764181554004713e-5
Kansas,Shawnee,7.974999304505875e-4,172,800,903,62935.3061224493,215674,119042,0.5519534111668537,2194,2366,99,5.332121628012649e-4
Ohio,"Darke, Shelby & Preble Counties",7.947873406845196e-4,111,4500,451,69455.00000000007,139660,139660,1,451,562,33,7.947873406845196e-4
Virginia,Virginia's Region 2000,7.934303963184829e-4,100,51096,453,51579.98936170213,126035,126035,1,1565,1665,77,5.315983655333836e-4
Illinois,Macon County,7.868705035971223e-4,84,1500,406,73264.75,106752,106752,1,647,731,41,7.868705035971223e-4
Florida,Charlotte County,7.797848824844848e-4,121,1500,339,56974.92857142857,155171,155171,1,927,1048,60,6.508948192639088e-4
Ohio,Miami County,7.787138075059921e-4,77,4400,292,77547.80487804874,98881,98881,1,626,703,30,-1.1124482964371315e-4
Indiana,"Montgomery, Clinton, White, Carroll & Benton Counties",7.72695886627429e-4,94,1100,467,73872.54716981131,121652,121652,1,675,769,46,4.4388912636043795e-4
California,San Diego County,7.684403341821918e-4,2322,7300,14736,75006.5555555565,3021705,3021705,1,52414,54736,2369,1.1615958539963365e-4
North Carolina,Rowan County,7.676069852235655e-4,100,3400,369,59719.45945945946,130275,130275,1,581,681,40,7.676069852235655e-4
Iowa,"Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties",7.649951662393342e-4,91,400,459,58424.81481481482,118955,118955,1,631,722,41,6.473036022025136e-4
Texas,Coastal Bend COG,7.624398073836276e-4,95,6500,263,64093.5,124600,124600,1,528,623,30,6.982343499197432e-4
North Carolina,Catawba County,7.618812288938308e-4,111,2800,462,60022.63636363635,145692,145692,1,1005,1116,43,7.618812288938308e-4
Texas,East Texas COG,7.464113090415896e-4,82,1300,247,64693.95384615384,109859,109859,1,425,507,28,7.464113090415896e-4
California,Lake & Mendocino Counties,7.336398317519319e-4,105,3300,326,41855.99999999996,143122,143122,1,1093,1198,43,2.3755956456729223e-4
New York,Warren & Washington Counties,7.333009252774597e-4,89,300,584,64793.16666666665,121369,121369,1,892,981,56,7.333009252774597e-4
Alabama,Lee County,7.320443878877441e-4,107,1900,510,66031.33734939761,146166,146166,1,2386,2493,88,-4.104921801239686e-4
Louisiana,Capital Region Planning Commission 1,7.272132280086175e-4,80,1400,297,70146.6999999999,110009,110009,1,411,491,22,7.272132280086175e-4
Ohio,Richland County,7.246075042685212e-4,87,2200,258,59025.40869565218,120065,120065,1,627,714,25,6.246616416107941e-4
Mississippi,Central Region,7.221051488928901e-4,306,990,1847,58479.4155844156,423761,423761,1,4076,4382,186,4.955623570833559e-4
Virginia,George Washington Regional Commission,7.133694189793811e-4,114,51115,921,99326.23999999979,159805,159805,1,2386,2500,110,-4.693219861706455e-4
North Carolina,Davidson County,7.028685824019278e-4,112,3500,421,63886.303030303025,159347,159347,1,859,971,33,7.028685824019278e-4
Wisconsin,Dodge & Jefferson Counties,7.025718935213264e-4,117,1001,538,67132.9523809524,166531,166531,1,750,867,47,7.025718935213264e-4
Michigan,Calhoun & Barry Counties,7.022471910112359e-4,132,2000,565,71462.33333333333,187968,187968,1,1353,1485,64,6.490466462376575e-4
California,Stanislaus County,6.915031549831446e-4,352,9900,1084,69565.95238095243,509036,509036,1,2359,2711,128,6.915031549831446e-4
New York,Dutchess County,6.905084876462073e-4,197,2800,1572,82063.99999999975,285297,285297,1,2762,2959,143,1.226791729320673e-4
Minnesota,"Mower, Steele, Freeborn & Dodge Counties",6.860814257579182e-4,85,2400,516,73600.18181818181,123892,123892,1,577,662,43,6.860814257579182e-4
Georgia,Coastal Regional Commission,6.813745350079187e-4,74,200,366,62261,108604,108604,1,1366,1440,68,-5.064270192626423e-4
North Carolina,Sampson & Duplin Counties,6.777716952112823e-4,78,3900,274,59707.66666666671,115083,115083,1,359,437,23,6.777716952112823e-4
New York,Oneida County,6.726026519761707e-4,252,400,1815,64477.59999999971,374664,153738,0.4103356607520338,2430,2682,160,3.3363226784532274e-4
Missouri,Greene County,6.665290499722694e-4,268,2600,1344,55962.499999999956,402083,245901,0.6115677608851904,3888,4156,172,5.919175891544781e-4
Kentucky,FIVCO Area Development District,6.642311524410495e-4,88,2800,335,73372.4285714286,132484,132484,1,454,542,29,6.642311524410495e-4
Ohio,Mahoning County,6.578324766123243e-4,285,1490,1321,63014.813559322014,433241,187978,0.4338878361004614,2222,2507,105,5.908951368868597e-4
Arizona,Navajo & Apache Counties,6.524231919969422e-4,99,300,450,54728.53333333362,151742,151742,1,602,701,55,3.3609679587721263e-4
Tennessee,Knox County,6.479231308557715e-4,341,1600,2844,64737.722222221964,526297,251635,0.47812356901141373,6930,7271,371,1.520054265937294e-5
Iowa,Scott County,6.46388760153182e-4,106,900,609,77644.80000000015,163988,163988,1,1896,2002,67,2.4392028685025734e-4
Iowa,"Marshall, Benton, Poweshiek, Tama & Iowa Counties",6.43043286966528e-4,76,1200,395,72886.43478260869,118188,118188,1,536,612,32,5.838156157985582e-4
Nebraska,South Central Nebraska,6.412095236488196e-4,76,500,489,68795.14736842105,118526,118526,1,1245,1321,58,6.412095236488196e-4
Texas,East Texas COG,6.389454037966808e-4,76,1600,283,63877.42622950819,118946,118946,1,923,999,39,-1.092932927546954e-4
Florida,Brevard County,6.368406452797606e-4,326,900,2183,68942.36666666667,511902,511902,1,4980,5306,266,4.102347714992323e-4
Georgia,Northwest Georgia Regional Commission,6.294339800228244e-4,107,2800,337,64849.69841269841,169994,169994,1,457,564,32,6.294339800228244e-4
Oregon,"Klamath, Malheur, Lake & Harney Counties",6.28152140269104e-4,69,300,370,53953.49999999984,109846,109846,1,592,661,49,2.913169346175555e-4
Pennsylvania,Beaver County,6.190730787629795e-4,154,1500,1021,72333.33333333344,248759,146084,0.5872511145325395,1640,1794,81,6.190730787629795e-4
Arkansas,"Pope, Johnson, Yell, Conway & Perry Counties",6.128962336779006e-4,82,1300,362,56124.12500000001,133791,133791,1,612,694,38,6.128962336779006e-4
New York,Rensselaer County,6.07663018533722e-4,94,1900,763,72584.5,154691,154691,1,1386,1480,73,2.327220070980212e-4
Pennsylvania,Dauphin County,5.989907006693721e-4,160,2400,1051,70264.38333333333,267116,267116,1,2892,3052,119,-4.0806241483100976e-4
Georgia,Atlanta Regional Commission,5.884330867518494e-4,133,3100,878,85285.17073170716,226024,226024,1,2432,2565,87,3.495204049127526e-4
Mississippi,Three Rivers Region,5.879370025501767e-4,80,500,405,61669.45454545456,136069,136069,1,908,988,55,3.013177138069656e-4
Illinois,Stephenson & Ogle Counties,5.794642025641291e-4,56,2700,375,65490.59999999997,96641,96641,1,730,786,42,5.794642025641291e-4
California,Riverside County,5.765049317974916e-4,1226,6500,5820,70238.6000000001,2126608,2126608,1,13059,14285,762,4.152152159683402e-4
Mississippi,Central Region,5.712120770553434e-4,98,1300,620,67564.66666666666,171565,171565,1,2255,2353,83,4.313234051234226e-4
Washington,Yakima County,5.667230527481775e-4,132,10900,451,63034.80769230772,232918,232918,1,1074,1206,57,7.728041628384238e-5
Oregon,Jackson County,5.612118202135585e-4,113,900,569,51681.152542372874,201350,201350,1,1752,1865,78,4.7678172336727094e-4
Texas,Panhandle Regional Planning Commission,5.582550542020086e-4,98,100,680,71481.07142857139,175547,175547,1,741,839,72,5.468620939121717e-4
Indiana,Clark County,5.577350285957366e-4,59,3600,330,62634.65573770499,105785,105785,1,666,725,33,5.577350285957366e-4
Virginia,Crater Planning District Commission,5.562845032439852e-4,92,51135,456,62356.112676056335,165383,165383,1,1031,1123,61,7.860541893665008e-5
Iowa,Northwest Central Iowa,5.443171663010805e-4,67,1900,526,55351.296296296285,123090,123090,1,563,630,54,5.036964822487611e-4
Tennessee,"Maury, Bedford & Marshall Counties",5.403223302176816e-4,87,2700,386,64957.178571428565,161015,161015,1,1007,1094,54,4.906375182436419e-4
Minnesota,West Central Minnesota,5.40077995679376e-4,77,800,789,71218.79032258067,142572,142572,1,825,902,73,5.40077995679376e-4
Florida,Orange County,5.327900147862245e-4,614,9500,5373,59632.82926829251,1152424,1152424,1,19112,19726,868,-6.560085524077943e-4
New York,Ontario & Yates Counties,5.316046338203914e-4,72,1400,702,76915.57446808503,135439,135439,1,1212,1284,75,4.0608687305724347e-4
Connecticut,New London County,5.284560463242322e-4,141,1100,1511,83242.29787234063,266815,266815,1,2384,2525,143,1.3867286321983397e-4
Florida,Polk County,5.240162303405397e-4,296,10500,1830,61825.40000000003,564868,564868,1,3757,4053,230,9.913820574010212e-5
Arizona,Yavapai County,5.220731572972895e-4,109,500,445,51578.666666666664,208783,208783,1,1616,1725,59,5.220731572972895e-4
North Carolina,Cumberland County,5.047359968535938e-4,154,5000,1202,54095.17241379314,305110,305110,1,4569,4723,243,-8.259316312149717e-4
Pennsylvania,York County,5.01778395989507e-4,215,3600,1331,74978.01503759397,428476,428476,1,2988,3203,112,1.0735723821170848e-4
Maine,Penobscot County,4.996269908082322e-4,73,300,489,61323.27659574467,146109,146109,1,1391,1464,47,4.996269908082322e-4
California,Los Angeles County,4.985380765844328e-4,4639,3700,44694,66319.27419354828,9305207,9305207,1,125711,130350,6422,-1.634568688262389e-4
Maryland,Frederick County,4.955958603169315e-4,119,300,1807,90854.8571428571,240115,240115,1,3075,3194,193,9.995210628240635e-5
Alabama,DeKalb & Jackson Counties,4.916056024487524e-4,53,400,207,58353.13333333333,107810,107810,1,233,286,16,3.2464520916427046e-4
Utah,Southwest & South Central Utah,4.909971639417546e-4,67,21001,444,54283.82608695651,136457,136457,1,828,895,50,4.909971639417546e-4
Kentucky,Big Sandy Area Development District,4.868449021853165e-4,71,1100,229,57968.31372549021,145837,145837,1,405,476,20,4.868449021853165e-4
Wisconsin,Rock County,4.8609269850889486e-4,77,2400,395,67863.275862069,158406,158406,1,918,995,31,4.355895610014772e-4
Georgia,Atlanta Regional Commission,4.7619633562613053e-4,387,4007,3796,68818.0821917817,812690,812690,1,10121,10508,437,-7.136792626954927e-5
Arizona,Pinal County,4.739900656876644e-4,219,800,907,63595.875,462035,355304,0.7689980196305475,2898,3117,130,3.1599337712510955e-4
Louisiana,Capital Region Planning Commission 5,4.7146289496350697e-4,52,1600,296,89055.22222222222,110295,110295,1,780,832,27,1.994650709460991e-4
New York,Saratoga County,4.693274037081421e-4,103,1800,1302,83972.51515151511,219463,219463,1,3108,3211,136,4.5565767350305064e-6
California,Nevada & Sierra Counties,4.64311341859778e-4,44,5700,373,54449.875,94764,94764,1,849,893,43,-1.0552530496813136e-4
Montana,Southwest Montana,4.6081998445592293e-4,67,300,611,58446.29729729729,145393,145393,1,1770,1837,76,3.4389551078800216e-4
Wisconsin,St. Croix & Dunn Counties,4.582321404023278e-4,60,55102,623,75107.82608695653,130938,130938,1,1299,1359,61,4.582321404023278e-4
