state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,median_real_wage,mean_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Michigan,Lenawee & Hillsdale Counties,-0.0014996215577672617,-212,2500,481,92439.47223734349,80068.00000000003,66930.25000000074,78519.65841045183,141369,141369,1,945,733,44,-0.0014996215577672617
Missouri,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties",-0.001513697112899653,-164,2300,237,76124.42012507106,66998.65168539326,56096.04255319149,65415.94826606026,108344,108344,1,397,233,15,-0.001513697112899653
Alaska,Matanuska-Susitna & Kenai Peninsula Boroughs,-0.001518498067366096,-209,200,421,106413.90225185557,91242,78728.2391304348,88518.0194993081,137636,137636,1,1201,992,53,-0.001518498067366096
Virginia,Virginia's Region 2000,-0.0015185209771640998,-183,51095,387,108716.27299513195,90815.51724137932,72372.36363636363,92252.04855239559,120512,120512,1,759,576,24,-0.0015185209771640998
Illinois,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties",-0.0015199529674930813,-212,401,514,85007.77871574869,81010.51851851853,67050.65168539323,71828.86424024357,139478,139478,1,854,642,45,-0.0015199529674930813
Georgia,Middle Georgia Regional Commission,-0.0015377681151735293,-232,1500,454,92611.37633648493,83769.72413793107,69192.375,77348.33383405497,150868,150868,1,1645,1413,62,-0.0015841662910623857
Mississippi,North Delta Region,-0.001548271971028945,-177,300,288,81668.5641564998,60913.99999999998,52008.82608695647,70269.6394615061,114321,114321,1,586,409,30,-0.001548271971028945
Ohio,"Washington, Morgan, Noble & Monroe Counties",-0.0015534642252222456,-155,3600,258,93180.6664072633,80753.37931034496,67733.76190476194,80143.19092088197,99777,99777,1,523,368,22,-0.0015534642252222456
Minnesota,Scott County,-0.0015627613773430415,-355,1690,969,137416.19305555554,118436.66666666653,94638.0606060606,113381.6983401084,227162,118292,0.5207385037990508,3052,2697,91,-0.0018224879161127302
North Carolina,Boone High Country,-0.0015648233929419458,-201,100,503,80738.85604081125,65821,53395.41176470589,66499.53987806395,128449,128449,1,1250,1049,71,-0.001603749347990253
Texas,South Plains Association of Governments,-0.0015863321620914203,-200,400,443,88152.64931153184,70000,60088.8918918919,76212.47891566265,126077,126077,1,742,542,40,-0.0016101271445227916
Pennsylvania,Lebanon County,-0.0015971022909629991,-209,2500,351,105515.62887596899,92194.85106382977,74368.05882352941,88351.49598560354,130862,130862,1,567,358,17,-0.0015971022909629991
West Virginia,"Putnam, Boone & Lincoln Counties",-0.0016174261918015396,-154,900,254,105516.77062336693,88930.54545454546,75369.34782608695,91478.91172079134,95213,95213,1,540,386,20,-0.0016174261918015396
Maine,Coastal Maine Region,-0.0016362515187222585,-268,500,855,76664.991799918,66975,51344.913580246946,61689.21156211562,163789,163789,1,1715,1447,67,-0.002063630646746729
Mississippi,Golden Triangle Region,-0.001636317865234539,-273,600,575,84106.20217474981,71977.65217391304,59369.62499999999,71024.75182832948,166838,166838,1,1578,1305,64,-0.001636317865234539
Utah,"Cache, Summit, Morgan & Rich Counties",-0.0016395433568132136,-270,5001,1010,115578.65895682489,85000,66821.85714285712,95939.89869938321,164680,164680,1,2194,1924,123,-0.002350012144765606
Ohio,Clark County,-0.0016436309301456854,-220,4300,391,91922.72613482129,81944.44444444442,68780.54237288136,77512.07615744232,133850,133850,1,1034,814,36,-0.0016436309301456854
New York,Livingston & Wyoming Counties,-0.0016488202406898511,-174,1300,480,92808.99096385542,87944.11764705884,72612,77385.17664776754,105530,105530,1,730,556,41,-0.0016488202406898511
Illinois,Will County,-0.0016513008237984857,-1070,3100,2804,132866.48294339748,115758.33333333372,92669.50000000004,108093.77601358593,647974,647974,1,5517,4447,205,-0.0018766185062980922
New Jersey,Passaic County,-0.001666460260245906,-767,400,1636,125738.33621660051,108717,83280.66666666677,98075.47502814147,460257,460257,1,3105,2338,120,-0.0021162089875873696
Indiana,"Morgan, Putnam & Brown Counties",-0.0016667508460023234,-198,2100,293,102983.55942823575,87087,72848,88061.60054826709,118794,118794,1,603,405,21,-0.0016667508460023234
Pennsylvania,Fayette County,-0.0016726252288959882,-211,3900,317,87382.67228397274,77140.13999999996,65944.59701492537,74912.16600932233,126149,126149,1,560,349,22,-0.0017598237005445941
Missouri,"Phelps, Crawford, Dent, Gasconade & Maries Counties",-0.0016749283556657115,-173,1500,253,72283.262604121,57795.07317073171,48219.515151515196,60999.92985532661,103288,103288,1,1073,900,41,-0.0016749283556657115
Illinois,Kankakee County,-0.0016795368606735037,-179,2300,347,98943.62671743089,82417.64814814815,66556.09302325582,82162.1322628704,106577,106577,1,653,474,23,-0.0016795368606735037
Texas,Alamo Area COG,-0.0016895783733968206,-198,6000,412,100804.53092979128,77991.12676056332,62162.99999999996,80819.07969639469,117189,117189,1,1086,888,42,-0.0016895783733968206
New York,Rockland County,-0.0016950251174850106,-523,3000,1571,145729.07728418073,119629,87272,112299.51862207035,308550,308550,1,2672,2149,111,-0.001892724031761465
Georgia,Atlanta & Northeast Georgia Regional Commissions,-0.0017143797862134347,-302,4300,536,88220.61460858685,72773.44827586206,57240.58823529411,71519.4187064988,176157,176157,1,1622,1320,48,-0.002372883280255681
Louisiana,South Central Planning & Development Commission 1,-0.0017342274239163303,-195,1900,284,112788.32198762285,103000,84727.16981132077,96433.33327266108,112442,112442,1,526,331,21,-0.0018498425855107523
Kentucky,Green River Area Development District,-0.0017492979791004927,-190,1500,330,93462.58514821537,81020.6875,67669,78865.80474894131,108615,108615,1,703,513,31,-0.0017492979791004927
Texas,Orange & Hardin Counties,-0.0017503530755130863,-233,4200,269,113972.64640768588,93903.68750000003,79584.36,100254.75918964077,133116,133116,1,745,512,27,-0.001998257159169446
South Carolina,Florence & Darlington Counties,-0.0017562938116170667,-344,900,644,90077.6412108424,71987.90697674418,58418.5,76482.18365525077,195867,195867,1,1392,1048,48,-0.0018124543695466821
Pennsylvania,Erie County,-0.0017697507086270805,-487,100,947,91757.64586391402,75147.13861386142,62255.00000000005,77289.55570813012,275180,168350,0.6117813794607166,3643,3156,98,-0.0018933061995784577
New York,Schenectady County,-0.001777935132306082,-231,1700,720,106845.42417823801,94636.12903225776,76861.35294117642,87768.49690123166,129926,129926,1,1283,1052,55,-0.0019164755322260364
Michigan,Washtenaw County,-0.0017840543645821906,-618,2700,2298,117914.78418619544,94856.68965517239,75793.67307692303,98016.86779803479,346402,346402,1,9582,8964,365,-0.004021339368710342
Pennsylvania,Indiana & Armstrong Counties,-0.0017861598875769952,-272,1900,552,96343.12029045075,84014.51851851853,73629.62500000001,83648.54404712975,152282,152282,1,1108,836,48,-0.0017861598875769952
Texas,West Central Texas COG,-0.0017947411732434657,-229,2700,474,90221.57178774646,73894.56756756756,60371.39473684209,75746.6404657933,127595,127595,1,1458,1229,72,-0.002202280653630628
Montana,South Central Montana,-0.0017984796046367525,-238,500,763,83282.98779621618,65821,52111.2857142855,66023.64667140182,132334,132334,1,2311,2073,90,-0.002078075173424819
South Carolina,"Sumter, Clarendon, Williamsburg & Lee Counties",-0.00182622121626333,-330,800,461,76047.1504823957,63969.35849056605,53098.081967213126,63680.71369502568,180701,180701,1,995,665,37,-0.0023906895921992685
New York,Cattaraugus & Allegany Counties,-0.0018326206475259622,-234,2500,735,84023.6892851507,72000,58806.27272727267,71448.14754615749,127686,127686,1,888,654,63,-0.0018796109205394484
Indiana,Hancock & Shelby Counties,-0.0018819101387908728,-208,2500,349,103952.14763890454,98169.50000000001,79546.056,87361.39231376085,110526,110526,1,802,594,25,-0.0018819101387908728
New York,NYC-Staten Island Community District 1,-0.0018984075885339579,-894,3900,1702,129300.02800583342,106449,82792.48148148156,103465.45233336934,470921,172302,0.3658830249659709,3157,2263,101,-0.0020045825095929043
Michigan,Ingham County,-0.0019007813919680175,-523,1800,1230,91178.54056583399,72000,58871.76666666658,76211.63191994817,275150,275150,1,5716,5193,189,-0.0034817372342358715
Arkansas,Faulkner & Lonoke Counties,-0.001915284635653079,-346,1100,691,88914.01469768738,78402,65168.43999999999,74954.43124825857,180652,180652,1,1769,1423,64,-0.0021090273011093153
Louisiana,Coordinating & Development Corporation 4,-0.0019244334987562344,-311,300,566,89435.10935935935,70912.41538461538,59612.49999999998,77028.99674674675,161606,161606,1,1027,716,44,-0.0019244334987562344
Tennessee,Land Between the Lakes,-0.0019577044776798924,-258,200,378,73676.20636122681,61577.416666666635,51738.714285714275,62441.861794774704,131787,131787,1,704,446,34,-0.002268812553590263
Ohio,"Highland, Clinton & Adams Counties",-0.001981710088540625,-218,5200,231,91609.28577847674,80786.33333333336,70101.10344827587,78081.7998202651,110006,110006,1,549,331,17,-0.0022544224860462157
Iowa,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties",-0.0019903349987713983,-243,100,450,86651.47668028745,79053.2,67968.8260869565,73619.80639706919,122090,122090,1,851,608,32,-0.0019903349987713983
