name,stname,household_inc_everyone,household_inc_minus_housing_lowskill
Anderson city,Indiana,75219,57749
NA,Missouri,70030,57700
Covington city,Kentucky,81137,57611
Lorain city,Ohio,75671,57576
Holland city,Michigan,73724,57563
Milwaukee city,Wisconsin,84702,57557
Clayton County,Georgia,69892,57530
Ludlow town,Massachusetts,88879,57465
Paterson city,New Jersey,88622,57397
Upper Darby township,Pennsylvania,88197,57309
Shelby County,Alabama,91567,57258
Henrico County,Virginia,87475,57214
Detroit city,Michigan,75731,57188
Fort Worth city,Texas,82144,57187
New Britain city,Connecticut,78382,57074
Huntington city,Indiana,69429,56900
Union County,North Carolina,76817,56852
Sandusky city,Ohio,70426,56850
Denver city,Colorado,89006,56837
Ottawa city,Illinois,69402,56831
Rock Springs city,Wyoming,73679,56807
Needham CDP,Massachusetts,163973,56786
Salt Lake City city,Utah,82510,56769
Rochester city,New Hampshire,78035,56744
Newport city,Kentucky,74546,56647
Malden city,Massachusetts,83288,56640
Galveston city,Texas,78357,56635
Granite City city,Illinois,73349,56503
St. Johns County,Florida,85403,56360
Kitsap County,Washington,77484,56352
Peoria city,Illinois,76312,56285
Woonsocket city,Rhode Island,76815,56194
Roanoke County,Virginia,77736,56130
Las Vegas city,Nevada,75038,56122
Kansas City city,Missouri,75163,56053
Washington city,Missouri,67749,56028
Springfield city,Ohio,72107,56016
Elkhart city,Indiana,71306,56005
Freeport city,Illinois,70923,55970
Michigan City city,Indiana,69183,55929
Logansport city,Indiana,64798,55908
Walton County,Georgia,70253,55896
Wichita city,Kansas,73396,55685
Oldham County,Kentucky,74949,55665
Cedar Rapids city,Iowa,75559,55663
Troy city,New York,74105,55603
Cecil County,Maryland,73099,55575
Faribault city,Minnesota,72900,55560
Newark city,Ohio,73495,55463
Des Moines city,Iowa,79374,55380
El Dorado County,California,88501,55374
DeKalb city,Illinois,77600,55361
Clifton Park town,New York,81901,55311
Toledo city,Ohio,73937,55281
Vineland city,New Jersey,70862,55253
Van Wert city,Ohio,68527,55246
Sidney city,Ohio,68938,55224
Kaufman County,Texas,76376,55211
Bethlehem city,Pennsylvania,77884,55190
Madison city,Indiana,68986,55145
Warsaw city,Indiana,66978,55112
Syracuse city,New York,76830,55079
Santa Rosa city,California,84364,55054
Newton city,Iowa,72770,55047
Auburn city,Indiana,66543,55023
Reading city,Pennsylvania,74299,55016
Oakland city,California,93791,55012
Albany city,New York,82998,54998
Bellevue city,Nebraska,69841,54989
Douglas County,Georgia,71757,54983
Butler city,Pennsylvania,73359,54867
Evansville city,Indiana,73996,54865
St. Cloud city,Minnesota,70589,54852
Decatur city,Illinois,71681,54831
Kalamazoo city,Michigan,78505,54825
Lewiston city,Maine,68026,54786
Wilson County,Tennessee,74182,54772
Portsmouth city,New Hampshire,81534,54743
York city,Pennsylvania,72870,54737
Westfield city,Massachusetts,75384,54708
Nicholasville city,Kentucky,69913,54659
Kennewick city,Washington,76098,54647
Niagara Falls city,New York,72116,54643
Lima city,Ohio,68648,54630
Atlantic City city,New Jersey,75278,54502
Columbus city,Ohio,80933,54486
Gloucester city,Massachusetts,88016,54447
Conway city,Arkansas,66881,54435
Warwick city,Rhode Island,82460,54431
Oswego city,New York,66627,54365
Chicago city,Illinois,83902,54357
Lafayette city,Indiana,72995,54338
Thurston County,Washington,77177,54335
Warner Robins city,Georgia,69268,54223
Wausau city,Wisconsin,73659,54216
Springfield city,Illinois,74207,54211
Columbia County,Georgia,81117,54205
Daly City city,California,114825,54204
Greensboro city,North Carolina,80142,54199
Beavercreek city,Ohio,80899,54194
Marysville city,Ohio,69382,54182
Oxnard city,California,89558,54175
Hampden township,Pennsylvania,77556,54140
La Crosse city,Wisconsin,71147,54116
Allentown city,Pennsylvania,76448,54091
Belleville city,Illinois,69843,54020
Lebanon city,Pennsylvania,70352,53978
Jasper city,Indiana,65181,53966
Watertown city,Wisconsin,72695,53952
Rankin County,Mississippi,73297,53927
Laplace CDP,Louisiana,71135,53910
Lawrence city,Kansas,70624,53866
Houston city,Texas,82095,53856
Kent city,Ohio,70852,53777
Charlotte city,North Carolina,88290,53740
Phoenix city,Arizona,79795,53722
New London city,Connecticut,85512,53709
Vancouver city,Washington,77948,53705
Cincinnati city,Ohio,83546,53694
Midland city,Michigan,75609,53684
San Bernardino County,California,74521,53683
Coolbaugh township,Pennsylvania,75137,53576
Gaston County,North Carolina,66197,53524
Lancaster city,Pennsylvania,72518,53506
Lincoln city,Nebraska,73771,53490
Harrisburg city,Pennsylvania,75404,53462
North Kingstown town,Rhode Island,81592,53390
Omaha city,Nebraska,80017,53379
Pascagoula city,Mississippi,67547,53346
Brockton city,Massachusetts,73817,53342
Buffalo city,New York,75199,53342
Napa city,California,83809,53336
Dayton city,Ohio,75386,53289
Fort Lauderdale city,Florida,79056,53253
Kankakee city,Illinois,70987,53240
Quincy city,Massachusetts,92780,53217
Akron city,Ohio,77468,53113
Petersburg city,Virginia,68439,53110
Stockton city,California,73929,53109
Orange County,Texas,64580,53098
Manchester city,New Hampshire,71885,53001
Tacoma city,Washington,73389,52995
Indianapolis city,Indiana,76060,52988
Logan city,Utah,71546,52894
Jeffersonville city,Indiana,63235,52867
Bloomington city,Illinois,84308,52828
Raleigh city,North Carolina,88300,52785
Frankfort city,Kentucky,69520,52784
Topeka city,Kansas,71529,52778
Davidson County,North Carolina,66507,52745
Muskegon city,Michigan,66305,52710
Columbus city,Indiana,72398,52654
Virginia Beach city,Virginia,80349,52631
Batavia city,New York,65373,52628
Columbia city,Tennessee,66294,52623
Palm Beach County,Florida,82117,52605
Beaver Dam city,Wisconsin,66825,52591
Mansfield city,Ohio,64452,52583
Forsyth County,Georgia,77826,52508
Lynn city,Massachusetts,73744,52436
Jacksonville city,Florida,72844,52406
Cranston city,Rhode Island,73683,52393
Portland city,Oregon,82297,52374
Davenport city,Iowa,72933,52371
Marion city,Indiana,61729,52366
Washington city,Ohio,63573,52357
Champaign city,Illinois,75294,52339
Newport city,Rhode Island,87400,52338
Livingston Parish,Louisiana,64492,52306
Boise City city,Idaho,82848,52255
Amarillo city,Texas,71140,52247
Concord city,North Carolina,74618,52234
Coldwater city,Michigan,64574,52184
Reno city,Nevada,77296,52183
