name,stname,household_inc_everyone,household_inc_minus_housing_lowskill
Sampson County,North Carolina,53084,43120
Alexandria city,Minnesota,54598,43101
Mecklenburg County,Virginia,55410,43092
Indiana borough,Pennsylvania,55464,43066
Calhoun County,Alabama,57982,43063
Nevada County,California,66694,43058
Franklin County,Alabama,52146,43038
Buncombe County,North Carolina,63607,43025
Abilene city,Texas,58115,42998
Carroll city,Iowa,53714,42996
Halifax County,Virginia,53835,42995
Spring Hill CDP,Florida,54759,42970
Sullivan County,Tennessee,58612,42958
Superior city,Wisconsin,55006,42949
Texarkana city,Texas,57063,42877
Thomas County,Georgia,53548,42865
Oneonta city,New York,60485,42855
Wakulla County,Florida,55229,42825
Alpena city,Michigan,54621,42823
Rapid City city,South Dakota,59097,42821
Iron Mountain city,Michigan,56290,42784
Dothan city,Alabama,57745,42780
Alcorn County,Mississippi,51482,42780
Sedalia city,Missouri,55699,42774
Pampa city,Texas,53105,42767
Norfolk city,Virginia,63183,42764
Casper city,Wyoming,57131,42744
Tazewell County,Virginia,52668,42735
Hattiesburg city,Mississippi,62560,42673
Klamath County,Oregon,55306,42666
Springfield city,Missouri,62507,42627
Lowndes County,Mississippi,53959,42624
Wise County,Texas,54427,42600
Rusk County,Texas,52163,42581
Butte-Silver Bow,Montana,58091,42537
Lock Haven city,Pennsylvania,56079,42524
Jasper County,Texas,50032,42510
Talladega County,Alabama,53548,42492
Sunbury city,Pennsylvania,57230,42453
Dingman township,Pennsylvania,56413,42437
Hopkinsville city,Kentucky,54028,42420
Brattleboro CDP,Vermont,60385,42408
DeKalb County,Alabama,54739,42355
Alachua County,Florida,67409,42354
Rutland city,Vermont,59444,42334
Elbert County,Georgia,57021,42331
Sault Ste. Marie city,Michigan,55056,42306
Pearl River County,Mississippi,54367,42301
Lafayette County,Mississippi,54381,42300
Angelina County,Texas,57799,42265
Pittsylvania County,Virginia,53557,42264
Harrison County,West Virginia,55760,42262
Shreveport city,Louisiana,64805,42256
Hamblen County,Tennessee,52144,42157
Bismarck city,North Dakota,56983,42157
Sumter County,South Carolina,54615,42155
Winneshiek County,Iowa,53387,42148
Yuma city,Arizona,56621,42094
Marion County,Florida,56002,42062
Great Bend city,Kansas,53203,42037
Beatrice city,Nebraska,53157,42006
Enid city,Oklahoma,56621,42003
Jackson city,Mississippi,64547,41997
Poplar Bluff city,Missouri,53088,41971
Johnson City city,Tennessee,58088,41948
Ottumwa city,Iowa,54063,41940
Carteret County,North Carolina,57269,41922
Jacksonville city,North Carolina,52615,41897
Lincoln County,Arkansas,52637,41878
Columbia city,Missouri,71898,41838
Henderson County,North Carolina,57037,41826
Visalia city,California,57395,41802
Lawrence County,Tennessee,50354,41796
Vicksburg city,Mississippi,58132,41794
Uniontown city,Pennsylvania,53887,41792
Cullman County,Alabama,55959,41777
Johnstown city,Pennsylvania,55139,41772
Little Rock city,Arkansas,76485,41763
Currituck County,North Carolina,54002,41744
Orangeburg County,South Carolina,52784,41734
Muskogee city,Oklahoma,53991,41665
Logan County,Arkansas,51390,41647
Vernon Parish,Louisiana,52907,41637
Charleston city,South Carolina,66639,41635
Mineral Wells city,Texas,50935,41601
Halifax County,North Carolina,51305,41567
Sayre borough,Pennsylvania,55168,41545
Redding city,California,59414,41537
Horry County,South Carolina,56965,41522
Raleigh County,West Virginia,55351,41463
Pueblo city,Colorado,56003,41447
Chico city,California,63195,41437
Corpus Christi city,Texas,57162,41416
St. Martin Parish,Louisiana,51621,41403
Enterprise city,Alabama,52205,41394
Rapides Parish,Louisiana,58341,41295
Henry County,Tennessee,51268,41291
Citrus County,Florida,54741,41280
Americus city,Georgia,52293,41270
Washington County,Texas,52586,41259
White County,Arkansas,54944,41222
Paris city,Texas,51813,41154
Walton County,Florida,54057,41141
Hood County,Texas,57527,41136
Salina city,Kansas,52987,41114
St. Louis city,Missouri,54879,41077
Norfolk city,Nebraska,51093,41067
Tangipahoa Parish,Louisiana,54338,40988
Robeson County,North Carolina,50283,40907
Fort Leonard Wood CDP,Missouri,51398,40905
Walla Walla city,Washington,57846,40903
Stevens County,Washington,53839,40881
Wichita Falls city,Texas,54921,40875
Medford city,Oregon,60314,40869
Grenada city,Mississippi,50772,40863
Colquitt County,Georgia,51130,40862
Wenatchee city,Washington,59325,40860
Starkville city,Mississippi,56583,40846
Roanoke city,Virginia,58990,40844
Washington County,Virginia,54479,40831
Mercer County,West Virginia,53149,40782
Jonesboro city,Arkansas,52900,40719
Watertown city,South Dakota,54322,40714
Dallas County,Alabama,50669,40702
North Platte city,Nebraska,53980,40638
Scott County,Mississippi,51233,40597
Pike County,Kentucky,49822,40552
Kirksville city,Missouri,49879,40533
Beaufort County,North Carolina,53107,40510
Worthington city,Minnesota,51988,40483
Scottsbluff city,Nebraska,51500,40466
Sevier County,Tennessee,53771,40456
Wayne County,West Virginia,50762,40437
Greenville city,Mississippi,54843,40390
Brunswick CDP,Maine,58514,40359
New York city,New York,65259,40316
Fergus Falls city,Minnesota,52112,40252
Barren County,Kentucky,49241,40248
City of The Dalles city,Oregon,55259,40235
Avoyelles Parish,Louisiana,48790,40226
Jones County,Mississippi,50914,40219
Kearney city,Nebraska,57032,40207
New York city,New York,100949,40126
Mandan city,North Dakota,50562,40056
Boston city,Massachusetts,69852,39964
Georgetown County,South Carolina,52142,39939
Rowan County,Kentucky,51468,39925
Andrews city,Texas,47542,39921
Beaufort County,South Carolina,62918,39921
Pittsburg city,Kansas,51030,39881
Wise County,Virginia,50034,39871
Joplin city,Missouri,54678,39800
Panama City city,Florida,59843,39772
Brownwood city,Texas,52414,39762
Habersham County,Georgia,53416,39744
Haywood County,North Carolina,51540,39680
New York city,New York,58368,39646
Grand Island city,Nebraska,54041,39628
Forrest City city,Arkansas,49238,39611
Amarillo city,Texas,53468,39447
Morehouse Parish,Louisiana,48804,39401
La Plata County,Colorado,57458,39360
Richmond city,Virginia,64172,39334
Monett city,Missouri,48835,39197
Umatilla County,Oregon,54699,39172
Woodward city,Oklahoma,50260,39067
Suwannee County,Florida,49484,39053
Sikeston city,Missouri,47415,38955
Kerr County,Texas,54084,38938
El Paso city,Texas,54996,38880
Phenix City city,Alabama,50738,38771
St. Landry Parish,Louisiana,49848,38752
Sierra Vista city,Arizona,53174,38716
Lincoln County,Mississippi,46388,38611
Prescott city,Arizona,53459,38607
Falmouth town,Massachusetts,67621,38606
Lake Havasu City city,Arizona,49257,38539
Ruston city,Louisiana,50018,38533
Campbell County,Tennessee,46997,38467
Highlands County,Florida,49752,38447
Huntsville city,Texas,51694,38438
Missoula city,Montana,55702,38435
Providence city,Rhode Island,66105,38413
Maryville city,Missouri,49381,38393
Greenwood city,Mississippi,50201,38380
Twin Falls city,Idaho,53912,38279
Plainview city,Texas,47923,38180
Lawton city,Oklahoma,54096,38157
Greene County,Tennessee,47748,38155
Ardmore city,Oklahoma,49323,38038
Putnam County,Tennessee,52615,38037
Kootenai County,Idaho,53439,38032
Hartford city,Connecticut,55350,37903
Le Flore County,Oklahoma,46899,37889
Watauga County,North Carolina,50290,37875
Alice city,Texas,48761,37866
Randolph County,West Virginia,49103,37824
Hays city,Kansas,52764,37769
Siskiyou County,California,52108,37737
Altus city,Oklahoma,48092,37644
Navajo County,Arizona,47153,37608
Elbert County,Colorado,51753,37557
Aberdeen city,South Dakota,48055,37535
Roswell city,New Mexico,48102,37376
Presque Isle city,Maine,47341,37303
Great Falls city,Montana,48068,37257
Bartlesville city,Oklahoma,50478,36985
Mountain Home city,Idaho,51521,36838
Laredo city,Texas,52809,36614
Mendocino County,California,55707,36612
Las Cruces city,New Mexico,51659,36417
Rockland city,Maine,50213,36399
Clovis city,New Mexico,48241,36358
Independence County,Arkansas,46729,36342
Fayette County,West Virginia,48043,36240
Jamestown city,North Dakota,47131,36193
Bemidji city,Minnesota,51259,36090
Big Spring city,Texas,48479,36080
Pulaski County,Kentucky,45635,35995
Humboldt County,California,52851,35924
Perry County,Kentucky,44347,35906
Clinton city,Missouri,45823,35858
Knox County,Kentucky,45386,35651
Mitchell city,South Dakota,48404,35615
Bozeman city,Montana,54456,35605
Tehama County,California,47891,35546
Flathead County,Montana,50096,35406
Josephine County,Oregon,50273,35310
Del Rio city,Texas,43613,34789
Baxter County,Arkansas,44446,34654
Laurel County,Kentucky,45777,34297
Pike County,Mississippi,46863,33862
Brownsville city,Texas,47308,33829
Southwest Meade UT,South Dakota,42878,33509
New Orleans city,Louisiana,57820,33497
Rio Arriba County,New Mexico,46045,33048
McKinley County,New Mexico,43095,32272
Grant County,New Mexico,43938,32177
Miles City city,Montana,42558,31403
Cambridge city,Massachusetts,82502,30962
West Plains city,Missouri,39874,30496
McAllen city,Texas,44345,30073
Anchorage municipality,Alaska,NA,NA
Knik-Fairview CDP,Alaska,NA,NA
Juneau city and borough,Alaska,NA,NA
Kodiak city,Alaska,NA,NA
Santa Barbara city,California,NA,NA
San Diego city,California,NA,NA
El Centro city,California,NA,NA
Washington city,District of Columbia,NA,NA
Kahului CDP,Hawaii,NA,NA
Hilo CDP,Hawaii,NA,NA
Honolulu CDP,Hawaii,NA,NA
Winfield city,Kansas,NA,NA
