type,year,term,estimate,std.error
Low skill,2016,(Intercept),-25.599029819763857,14.545765935481189
Low skill,2016,log(nominal_wage_everyone),2.296821015019366,1.2999352442964403
High skill,2016,(Intercept),-42.69280122639384,11.04526359479046
High skill,2016,log(nominal_wage_everyone),3.738368234544632,0.9871001288690497
Low skill,1940,(Intercept),-244.77419550044823,33.531150117401104
Low skill,1940,log(incShared),26.051885120142572,3.5103554108609205
High skill,1940,(Intercept),-126.39972097227304,26.890188421468007
High skill,1940,log(incShared),13.618143856900275,2.8151172296169986
