res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
Illinois,17,2e3,McLean County,47017,96270.77345623102,51938.71595909145,90318.08098462922,113386.92157280623,64573.10126055417,3274,2407,3284,2465,-0.0012335963587638513,-2.1268902737307783e-4
Nebraska,31,200,Northeast Nebraska,46834,75435.72573977371,48387.70509572072,65555.3556424165,87963.08474760661,58306.90948761261,927,3657,1019,3623,7.259683136183115e-4,-0.0019643848486142544
North Carolina,37,590,"Franklin, Vance & Warren",46639,66173.4081829453,37474.45168295331,53612.355533663445,79872.12976994076,47524.992016350516,694,3528,751,3093,0.009326958125174211,-0.0012221531336435172
North Carolina,37,4200,Pitt County,46425,80833.45417037456,42751.24854170717,69671.68821546777,96234.82752204515,53710.820775811786,1816,4739,2752,4185,0.01193322563274098,-0.020161550888529885
Texas,48,800,Texoma COG,46413,80307.08007614213,48965.45284025925,68463.38349457637,95785.70342639594,60255.22943194815,1335,5455,1032,4481,0.020985499752224593,0.006528343352078082
Connecticut,9,700,Middlesex County,46371,116695.60413431158,58578.31193804896,109717.25600042201,141809.67750227603,78572.2122550803,2095,2083,2127,2152,-0.0014879989648702854,-6.900864764615816e-4
Michigan,26,1400,Bay & Midland Counties,46356,97870.81898723889,44640.82389220616,74084.51365237427,113523.51150125985,55023.46751257071,1439,2742,1642,2774,-6.903097765122098e-4,-0.004379152644749331
Virginia,51,51120,George Washington Regional Commission,46281,97852.73645769933,60863.48213133789,93714.43553040086,121098.8097991479,78235.13327312605,1495,3870,1323,3196,0.01456321168514077,0.003716427907780731
New Jersey,34,2490,Cumberland County,46183,85925.54844424759,50087.16456511423,75670.88783639997,106701.20252463737,66172.04803064199,580,2847,824,3399,-0.011952450035727431,-0.005283329363618647
Oregon,41,600,Linn & Benton Counties,46104,75877.85219347582,42355.41695230634,70252.80741772077,92875.4197975253,55480.868524140635,2253,3947,2584,3563,0.008328995314940135,-0.007179420440742669
Iowa,19,900,Scott County,45996,96064.4713554114,54755.654222022065,85214.04377204884,113278.98552406965,66704.20040531411,1936,2591,1896,2723,-0.002869814766501435,8.696408383337682e-4
Wisconsin,55,1501,Winnebago County,45951,87872.77680698967,49970.87908509709,75041.0622227091,103682.19592268996,62154.08743993964,2114,2795,1659,2869,-0.0016104110900742096,0.009901851972753586
Mississippi,28,1300,Central Region,45806,89364.8706580555,50679.08354098361,76552.86156176274,104732.71810089021,62437.67921311475,2329,3659,2255,3230,0.009365585294502904,0.0016155088852988692
Georgia,13,4300,Atlanta & Northeast Georgia Regional Commissions,45795,74546.21833721834,42975.19570836581,67313.19835354322,91566.21315721316,55787.21999753826,1204,3865,1622,3148,0.015656731084179497,-0.0091276340211813509
Arkansas,5,1400,Sebastian & Crawford Counties,45755,81939.9434117647,42351.51071086415,62404.43355976297,95148.2474117647,51738.696148687486,1010,4855,861,4434,0.009201180198885368,0.003256474702218337
Alabama,1,2500,"Houston, Dale, Geneva & Henry Counties",45379,84713.78177165834,42755.38991628615,63392.97387421347,98885.56098452541,52308.96845509893,1015,4055,1398,4424,-0.008131514577227352,-0.00844002732541484
Illinois,17,3700,Kendall & Grundy Counties,45361,91554.9979281768,63125.126272278765,94929.85483652884,115625.59903314918,81610.40170674252,1323,2420,1786,2853,-0.009545644937280924,-0.010207006018385837
Ohio,39,1900,Medina County,45315,101194.62534828407,57675.31596854012,90806.81187243955,119377.22432891607,72230.74173736303,1498,2492,1361,2617,-0.0027584684982897493,0.0030232814741255657
South Carolina,45,200,Anderson County,45254,82199.71990585071,43477.79203785162,64146.63785962474,95865.52891728313,53685.84068310354,932,3247,1069,4031,-0.017324435409024615,-0.003027356697750475
Indiana,18,1200,Tippecanoe County,45197,79779.41200399658,49079.28610008818,74819.0784923498,93531.89930059949,60367.79734347443,2312,4006,2983,3740,0.005885346372546851,-0.014846118105183973
New Mexico,35,1e3,Do�a Ana County,45130,75036.36099406656,31647.99829433632,57002.85936684641,88625.44518015307,40919.804460966545,1055,3724,1661,4196,-0.010458674939064924,-0.013427875027697761
Mississippi,28,100,North Delta Region,45056,86068.95757290686,56659.85337590162,79518.35235132357,102873.47422389463,69732.96961097316,1123,3595,1197,3140,0.01009854403409091,-0.0016424005681818182
Wisconsin,55,100,Northwest Wisconsin,44962,69777.6647019573,39988.161097852026,59102.69377285379,84307.7990435943,50906.9786287698,1277,3291,1100,2648,0.01430096525955251,0.003936657621991905
Arkansas,5,1790,Southeast Arkansas,44935,70447.28847725416,42470.6600252035,56609.003214996046,81126.14600926178,50478.25622424304,628,3243,892,3469,-0.005029487036830978,-0.00587515299877601
Wisconsin,55,1001,Dodge & Jefferson Counties,44898,80474.34930001157,49303.91133549791,71127.55211344424,97317.89945620733,63050.94127091733,867,2974,750,3637,-0.01476680475745022,0.00260590672190298
South Carolina,45,1500,Aiken & Edgefield Counties,44808,89821.9559666493,43019.40121885044,69719.01057201657,104587.11907243356,52961.01076929499,1190,3393,1269,3485,-0.0020532047848598463,-0.0017630780217818248
Michigan,26,1500,Saginaw County,44738,84476.19927572679,42034.75755718954,65807.48362917986,98672.42742178855,52461.470302287584,1412,3431,1556,3918,-0.010885600607984264,-0.003218740220841343
Tennessee,47,500,Sumner County,44737,85647.41867335064,51122.72011698881,77198.58766504617,103753.09086026318,64624.81879450661,2141,3054,1347,3432,-0.008449381943357847,0.017748172653508282
Oregon,41,400,Deschutes County,44528,72244.73742061554,40310.32091141397,69605.27177621837,92424.388617489,54684.89310051107,3232,3804,2246,4180,-0.00844412504491556,0.022143370463528565
Virginia,51,51097,West Piedmont Planning District Commission,44507,77879.87174488233,40568.73454327178,57563.37079601149,90691.24119203453,49163.5530878147,874,3510,893,3728,-0.004898105915923338,-4.268991394612084e-4
Kentucky,21,2400,Northern Kentucky Area Development District,44502,93246.96497035954,51679.4593287552,81313.32972940862,109270.58372469012,63751.826095367054,1871,3733,1687,3544,0.004247000134825401,0.004134645633904094
North Carolina,37,2390,"Haywood, Madison, Swain, Graham & Jackson",44382,62810.23305767372,37951.99136858476,54777.611315691815,75836.90516593277,47153.852177293935,1589,3388,1367,3007,0.008584561308638636,0.005002027849128025
Alabama,1,2600,Baldwin County,44310,93918.17991599847,41964.40067620971,74872.17092754188,111186.51714394808,53991.50158074998,1864,2568,1271,2738,-0.0038366057323403293,0.01338298352516362
North Carolina,37,1100,Johnston County,44263,76130.65936952714,48185.866245229925,69476.94677121007,93106.45388207822,60115.49766796438,1172,2800,1341,2729,0.0016040485281160336,-0.0038180873415719677
Kentucky,21,100,Purchase Area Development District,44169,73395.09855862874,45137.60316784138,63497.31884178443,86256.7565251266,54447.13271628843,1075,2897,1224,2883,3.169643867871131e-4,-0.003373406687948561
Wisconsin,55,1e4,Kenosha County,43890,88167.21967245269,50067.78899846045,77755.47636576103,106980.60831617142,65355.498398036034,1370,3509,1575,3206,0.006903622693096377,-0.004670767828662566
Virginia,51,51020,Mount Rogers Planning District Commission,43771,70933.02122458052,42536.38807661379,59270.79998349699,84183.34148238694,51076.19654214489,1107,2633,1055,2619,3.1984647369262754e-4,0.001188001188001188
Arizona,4,500,Yavapai County,43713,65424.087439667754,40289.58960652002,60654.84292962718,80625.38141205523,52858.964946104636,1725,4594,1616,4047,0.012513439937775948,0.0024935373916226294
Tennessee,47,400,"Robertson, Dickson, Cheatham & Hickman Counties",43667,83068.87180844026,47731.75200662275,67940.0130156754,98456.6119857124,59637.274952308966,992,3308,939,3086,0.005083930657017885,0.0012137311928916573
New York,36,1900,Rensselaer County,43421,90531.5529685681,54625.9085163163,84857.71229996496,109469.03562281723,70010.7203520764,1422,3609,1386,2760,0.019552750973031482,8.290919140508049e-4
South Carolina,45,101,Pickens & Oconee Counties,43406,75831.36628696833,42470.57877534133,62789.34375648359,90515.0210053297,51812.63686388084,1476,3491,1812,2888,0.013892088651338525,-0.00774086531815878
North Carolina,37,4990,Robeson County,43384,63764.849560117305,38207.20264228326,51645.50788962726,75977.04369501467,46067.09412713887,440,2702,543,3132,-0.009911488106214273,-0.0023741471510234187
Indiana,18,2200,Hendricks County,43369,96313.91968684619,64635.18451426739,94523.71784318988,114031.59290004724,79078.15918563642,1644,3256,1594,3344,-0.002029099126103899,0.0011528972307408517
