statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Arkansas,021,1,10725.418,2282.0205,379.29016,5016.7988,5278,700,2300,1940,16.39529854910714,7578,63908,-.025035989,9.0411396,8.5205469
Arkansas,021,0,4251.1855,6584.6509,379.29016,5016.7988,49302,3090,7028,1940,16.39529854910714,56330,63908,-.061619829,,8.5205469
Arkansas,022,1,33336.516,10098.285,359.70654,18859.186,18188,4800,3400,1940,16.39529854910714,21588,71100,.019690577,10.053555,9.8447552
Arkansas,022,0,12436.511,4438.856,359.70654,18859.186,43884,5896,5628,1940,16.39529854910714,49512,71100,.0037693391,8.9869032,9.8447552
Arkansas,023,1,15028.813,1876.4734,59.100861,7075.2197,7200,1700,800,1940,16.39529854910714,8000,62308,.014444374,9.484355,8.8643541
Arkansas,023,0,5729.9902,846.30762,59.100861,7075.2197,47924,4114,6384,1940,16.39529854910714,54308,62308,-.03643192,8.4936552,8.8643541
Arkansas,024,0,4746.1377,1259.6199,90.298302,5939.416,50444,4818,3865,1940,16.39529854910714,54309,63073,.015109477,8.1566591,8.6893663
Arkansas,024,1,13014.694,1956.8582,90.298302,5939.416,7377,1400,1387,1940,16.39529854910714,8764,63073,.00020611037,9.310895,8.6893663
Arkansas,025,0,6804.3071,1159.4242,82.46167,7925.5508,71628,4270,6928,1940,16.39529854910714,78556,94322,-.028180065,8.638505,8.9778471
Arkansas,025,1,12719.246,2538.3499,82.46167,7925.5508,13666,2270,2100,1940,16.39529854910714,15766,94322,.0018023367,9.2282686,8.9778471
Arkansas,026,1,13053.939,2589.2585,83.538727,5145.8755,10036,800,2087,1940,16.39529854910714,12123,107080,-.012019051,9.2557611,8.5459509
Arkansas,026,0,4026.3235,1247.3031,83.538727,5145.8755,85280,5202,9677,1940,16.39529854910714,94957,107080,-.041791186,7.9298539,8.5459509
